title,company,location,date,job_url,job_description,applied,hidden,interview,rejected,date_loaded
Credit Risk Policy Review and Assurance Officer,ABA Bank,"Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4425071616/,"Job Purpose
To support and assist in reviews and assessments of credit-related frameworks, internal control systems, new credit products, credit authorities, and lending limits as well as to perform credit assurance testing and reviews, providing clear and actionable recommendations to management within the Risk Function.
Location
- Head Office, Phnom Penh (01 Post).
Major Areas of Responsibility
- Assist in review, challenge, and provide recommendations on credit-related frameworks, including but not limited to governance, policies, processes, procedures, and reporting structures.
- Assist in review and provide feedback on the internal control framework for credit-related activities.
- Assist in review and challenge and provide recommendation on all revision to credit related authorities and lending limits.
- Assist in review and assess technical implementation and conducted testing of new credit related product prior to go-live.
- Prepare and assist to escalate concerns or necessary adjustments arising from reviews, challenges, and assessments, ensuring that any adverse findings are communicated to the appropriate governance committees before approval or ratification.
- Contribute to the development of Credit Risk Management Division.
- Perform other tasks as assigned.
Qualifications
- Bachelor’s degree in finance, Economics and statistics, Accounting, Business, Mathematics and/or relevant fields.
-  Minimum two years of experience in banking industry in credit operation and assurance, risk management, analytics, internal audit, or international auditing firms.
- Ability to interpret quantitative and qualitative data, formulate conclusions, and make recommendations.
- Good critical thinking, reporting, time management, problem-solving, and effective communication skills.
- Diligence and strong analytical skills.
- Ability to use and communicate in both Khmer and English.
- Ability to handle private, sensitive, confidential information appropriately.
- Proficient Microsoft Office and Bank’s software.
- Strong dedication to details and accuracy.        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Digital Marketing,My Destiny វាសនាខ្ញុំ,"Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4425092704/,"Company:
 Feng Shui Center (Cambodia) Co., Ltd.
Brand:
 App My Destiny - វាសនាខ្ញុំ
Location:
 Phnom Penh, Cambodia
About the Role
We are looking for a creative, data-driven, and passionate 
Digital Marketing Specialist
 to join our team. You will be responsible for growing the user base of 
App My Destiny
, Cambodia's leading science-based Feng Shui mobile application. You will help us reach new audiences, maintain our strong community, and communicate the value of our digital astrological tools to users in Cambodia and worldwide.
Key Responsibilities
- Strategy Development:
 Plan and execute comprehensive digital marketing strategies to increase app downloads and active user engagement.
- Content Creation:
 Create engaging, high-quality content (copywriting, visuals, and video) for social media, website, and in-app promotions, ensuring brand consistency.
- Campaign Management:
 Manage and optimize paid advertising campaigns across platforms such as Facebook, Instagram, TikTok, and Google Ads.
- Community Engagement:
 Manage our social media presence, responding to our growing community and fostering positive interactions.
- Analytics:
 Monitor, analyze, and report on the performance of digital campaigns, using data to make informed decisions for future optimization.
- Collaboration:
 Work closely with the core team to align marketing efforts with business goals and new feature launches within the app.
Requirements
- Bachelor’s degree in Marketing, Communications, or a related field.
- Proven experience in digital marketing, preferably with mobile applications.
- Strong understanding of social media trends and content creation tools.
- Analytical skills to track KPIs and optimize campaign budgets.
- Fluency in Khmer and English; ability to write compelling copy in both languages.
- An interest in or basic understanding of Feng Shui, astrology, or self-development tools is a strong plus.
- Passionate, creative, and proactive team player.
Why Join Us?
- Work with a highly respected, locally-developed brand with over 900,000+ users.
- Professional growth opportunities and the chance to work with an experienced, innovative team.
- Exposure to international standards in app development and digital marketing.
- A dynamic, positive, and collaborative working environment.        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Digital Marketing Executive,Sinh Hak Hout Home Mart,"Tuol Kouk, Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4425079027/,"I. Duties and Responsibilities 
- Social Media Management: Oversee the company's presence on social media platforms, including content creation, audience engagement, and monitoring.
- Monthly & quarterly Calendar plan: work with Marketing Manager and sales team to prepare Content planning by monthly and quarterly
- Content creator, prepare script and create videos for posting 
- Work with Sales Team for live facebook. 
- Responsible for tracking, analysis and reporting on digital programs and platforms, including social media pages and paid campaigns, telegrams and Tik Tok…
- Continuously improve by capturing and analyzing the appropriate social data/metrics, insights and best practices, and then acting on the information
- Manage day-to-day production, analyze competitors, manage daily posting schedules and fix digital daily operation issue. 
- Promote company's products and services in the digital space
- Prepare weekly and monthly reports and presentation for Marketing Manager
- Other tasks assigned by Marketing Manager. 
II. Requirements
- Bachelor's degree in Marketing, Business, or a related field
- At least 3 or 4 years experiences in digital marketing 
- Strong understanding of digital marketing channels, tools, and best practices.
- Good in communication skills.
- Strong analytical and problem-solving abilities.
- Leadership and team management experience.
- Creative thinking and ability to adapt to changing market trends.
- Confident, dynamic personality and responsible. 
III. Apply To
0965996996
 
recruitment@sinhhakhouts.com
https://t.me/shhcareer        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Digital QA Tester,ABA Careers,"Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4425062624/,"Job Purpose
The person must play a critical role in delivering high-quality, perfectly functioning software and web applications to customers. As a QA tester, you will test the software as the first user to find the bugs in the system and issues related to the user interface or experience. You will work closely with developers, designers, and product owners to understand features and implement robust and comprehensive test plans to verify the functionality of Mobile apps and web solutions.
Success in this role will be demonstrated by providing quality work output, screening for errors, and refining usability throughout the software development and implementation process.
Location
- Head Office, Phnom Penh (01 Post).
Major Areas of Responsibility
- Join the project planning, estimate testing,
- Develop, review and update Test plan, Test cases, prepare testing tool
- Controls and manages daily test activities
- Executes test cases under varying circumstances
- Documents and evaluates test results
- Detects, logs, and reports program bugs and glitches
- Tracks defects and helps troubleshoot errors
- Perform testing on the products: functional testing, regression testing, exploratory testing, etc.…
- Analyzing the software’s performance against the designer’s intentions
- Take ownership of product quality and readiness for every product release
- Continuous improvement on the Quality assurance process and tool within the department
- Clear and effective communication of issues to developer or third party
- Handle tasks assigned by Line Manager.
Qualification
- Bachelor’s degree in Computer Science, Software Engineering, or related field
- 2-3 years of professional experience with QA Tester role for Mobile or Web projects
- Understanding of testing process and methodologies
- Experience in reviewing designs, wireframe, user stories, and software requirements specification
- Experience with AI-powered testing tools to enhance testing activities is considered an advantage.
- Details oriented and knows how to articulate defects
- Experience or knowledge in creating test deliverables such as Test Cases and Test Status Reports
- High attention to detail and solid Analytical and problem-solving skills
- Proficient in test management software
- Outstanding written and verbal communication skills
- Experience in Agile frameworks and regression testing desired
- Good time management and self-discipline
- Strong communication skills.        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Documentation Assistant,A.P. Moller - Maersk,"Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4416080478/,"Who We Are
Maersk is a global leader in integrated logistics and have been industry pioneers for over a century. Through innovation and transformation we are redefining the boundaries of possibility, continuously setting new standards for efficiency, sustainability, and excellence.
At Maersk, we believe in the power of diversity, collaboration, and continuous learning and we work hard to ensure that the people in our organization reflect and understand the customers we exist to serve.
With over 100,000 employees across 130 countries, we work together to shape the future of global trade and logistics.
Join us as we harness cutting-edge technologies and unlock opportunities on a global scale. Together, let's sail towards a brighter, more sustainable future with Maersk.
What We Offer
Maersk being the global leader in the industry, you’ll have the opportunity to work for a large global organization and get exposure to excellent processes and systems. You will join an organization that offers a challenging and rewarding career where everyone’s contribution is valued and rewarded.
On leadership and mentoring, Maersk has a nurturing management culture. Throughout their career, your leaders will support your ideas and provide necessary advice and training. You’ll be given the opportunity to prove yourself, as well as challenging work that develops your abilities.
On career development, there are wide range of roles in Maersk and Maersk has a very good career mobility program that establishes a culture of priority consideration to internal candidates and to encourage employees to take responsibility for managing their careers whether to move laterally or vertically.
Purpose of the role
Responsible for documentation, system updates, reporting, and other tasks related to CFS operations, including document management, system maintenance, and report generation.
Key responsibilities:
- Follow the plan to complete document and data processing tasks for inbound operations.
- Follow the plan to complete document and data processing tasks for outbound operations.
- Follow the plan to complete document and data processing tasks for inventory management.
- Collect, file, and store documents for operational activities.
- Generate reports from systems and address data issues in accordance with work instructions and SOPs.
- Participate in new projects to establish and test operational processes as requested.
- Propose and implement improvement initiatives to enhance operational efficiency.
What we are looking for:
- Bachelor’s degree or higher
- Proficiency in using computers and Microsoft Office
- Intermediate-level proficiency in English
- Ability to work on-site, in shifts, and overtime
- Team-oriented with a strong learning mindset
- Commitment to safety
- Strong sense of discipline
Maersk is committed to a diverse and inclusive workplace, and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race, colour, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, sexual orientation, physical or mental disability, medical condition, pregnancy or parental leave, veteran status, gender identity, genetic information, or any other characteristic protected by applicable law.
We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website, apply for a position, or to perform a job, please contact us by emailing accommodationrequests@maersk.com.
                
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
EHS and Sustainability Regulatory Expert for Cambodia,Enhesa,Cambodia,2026-06-08,https://www.linkedin.com/jobs/view/4425093930/,"Who We Are:
Enhesa is the leading provider of regulatory and sustainability intelligence worldwide. As a trusted partner, we empower the global business community with the insight to act today and prepare for tomorrow to create a more sustainable future - positively impacting our environment, our health, our safety, and our future. Navigating the fast-changing compliance and sustainability landscapes, we help them understand not just what they should do (first) but also how to do it. Both in their unique business and anywhere in the world. Now and in the future.
Our Mission:
- Identify EHS requirements for the industry
- Provide EHS compliance tools to companies
- Advise companies in developing and implementing corporate EHS strategies
Enhesa’s core clients include Fortune 500 multinational companies. For more information, visit www.enhesa.com
As part of our highly dynamic team, we offer:
- A competitive salary package & benefits with a flexible home-working policy
- Work/life balance and a fast-paced and driven environment
- Accountability and pride for your projects
 
Who are you?
Enhesa is seeking a legal expert to assist its team in covering 
as a subcontractor
.
The work can be done remotely and requires approximately 
.
The main responsibilities of the successful candidate include:
- Researching EHS law, regulations, and policy in 
;
- Monitoring existing and drafting EHS laws to alert the industry about future requirements;
- Preparing written reports, allowing the industry to measure regulatory compliance; and
- Depending on language skills and experience, the successful candidate could also be required to research EHS requirements in other countries.
 
What to bring to the table?
- Appropriate academic qualifications in law or specialization in environmental law are an asset;
- Strong analytical research and writing skills with a demonstrated ability to research and analyze legislation and policies in 
;
- Next to 
, fluency in English is essential (additional language skills are an asset); and
- Interest in and understanding of EHS law and industrial processes.
 
If you are ready to join our journey, please apply!
 
         
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Finance Manager,CAMMA Corporate Learning and Development Center,"Phnom Penh, Phnom Penh, Cambodia",2026-06-07,https://www.linkedin.com/jobs/view/4421911156/,"Roles & Responsibilities
-  Financial Reporting & Analysis: Provide month-end close and monthly management
reports compare to Budget.
-  Financial Management & Operations: Manage AR & AP function and Manage fixed asset.
Ensure Spot Reconciliation is in place. Identify opportunities to improve systems,
policy, and procedures.
-  Internal Controls: Ensure compliance with business policies and local legislation,
and that adequate controls are in place.
-  Initiatives for time and cost savings, including continuous improvement of the work process.
-  Staff Training & Development: Ensure that staffs understand the operating plans of
the business, what needs to be done and how the company is doing against set targets.
Job Requirements
-  MBA or BA of Finance or Accounting
-  At least 5 years experience in a managerial capacity
-  Good command of spoken and written English
-  Proven leadership, motivational and mentoring skills
-  Strong time management skills- Able to work under pressure to the deadline
-  Resilient, flexible and initiative
-  Proven attention to detail
How To Apply
If you interest the above position, you should submit your CV and Cover letter to
career@ctn.com.kh. Application must be submitted. Tel: 017 333 250
Only short list applicant will be contacted for interview.
Company Description
Cambodian Broadcasting Service (CBS) operates 4 stations CTN, MYTV CNC, and CTN International delivering high-quality international and locally produced programming to every Cambodian household. CTN has currently rated the best Cambodia television station with the largest audience base and also delivers service to the Khmer community living in the United States via DTH TV as well as Australia and Canada.Currently, we are looking for young and dynamic individual to fulfill the following position.
                
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Footwear Senior Lead Technician (QA),,"Phnom Penh, Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4425098203/,"Role Overview
Lead and oversee two or more technicians, acting as the technical gatekeeper to ensure world-class service and meet Impactiva clients’ expectations.
Key Responsibilities
- Conduct 
material, in-process, and final shipment inspections
 in line with Impactiva’s Inspection Manual
- Execute 
strict QA processes and procedures
 on a daily basis
- Prepare and submit 
inspection reports using a laptop
- Maintain strong working relationships with:
- Clients
- Factory personnel (including management/owners)
- Internal team members
Required Knowledge
- Minimum 
8 years of experience
 in footwear industry
- Strong exposure to:
- Shoe construction types
- Leather and non-leather materials
- Product development & commercialization
- Last measurement
- Sample inspection & final approval
- Material QC (soles, components, accessories, uppers)
- Cutting die & pre-production
- Physical & chemical testing requirements
- AQL (Accepted Quality Level) sampling
- Final inspection & manual testing
- Solid understanding of:
- Full shoe construction & defect classification
- Finishing techniques & problem-solving
- Factory operations
- Material specifications & QC
- Mold contamination
- Technical factory audits
- Aesthetic, fitting, functionality, and finishing evaluation
Traits
- High integrity and strong work ethics
- Self-driven and able to work independently
- Willing to work outside home city/country based on business needs
- Able to handle pressure from factories, trading companies, and clients
Skills
- Good 
English communication
 (spoken & written)
- Proficient in 
computer skills
 (Windows, Outlook, Word, Excel)
- Strong 
presentation skills
 (e.g., factory kick-off meetings)
- Leadership and coaching capability
- Strong interpersonal skills to influence stakeholders
- Good 
risk assessment & decision-making
- Ability to perform 
root cause analysis
 and maintain quality standards        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Freelance Market Research Analyst - Cambodia,Euromonitor International,Cambodia,2026-06-08,https://www.linkedin.com/jobs/view/4425056511/,"Founded in 1972, Euromonitor International is the world's leading provider of global business intelligence and strategic market analysis, with a presence spanning 16 countries and regions. Our dynamic team of over 1,000 in-country analysts worldwide empowers us to deliver exceptional, trustworthy business insights across more than 100 countries.
We equip our clients with the knowledge they need to navigate market dynamics, decode consumer trends, analyze competitive landscapes and uncover exciting growth opportunities across a diverse array of industries and markets.
Our research covers a wide range of topics, including:
- Market size and share analysis
- Competitive benchmarking
- Go-to-market opportunities
- Consumer and channel insights
- Strategic positioning analysis
We are on the lookout for detail-oriented and commercially savvy analysts to contribute to regional and international research projects on freelance, project-based engagements. We value long-term partnerships and welcome ongoing collaboration with exceptional performers.
Scope:
- Conduct secondary research into industries, companies, consumer trends and more.
- Execute store visits and retail audits to gather brand and product information.
- Carry out cold calls and trade interviews with companies and associations to extract qualitative and quantitative insights across various industries.
- Perform data analysis, calculations and market sizing estimations.
- Interpret research findings to develop clear, structured business insights and actionable recommendations.
- Prepare client-ready research deliverables, including written analyses, presentations, databases and reports.
Please note that assignments may vary by project and may not encompass all of the tasks listed above.
Requirements
- Professional fluency in English to ensure clear and effective written and verbal business communication - local language proficiency would be an added advantage.
- Exceptional numeracy skills with the ability to interpret, cross-reference and analyze data from diverse sources.
- Strong proficiency in Microsoft Office Suite (Excel, Word, PowerPoint, etc.) to support project tasks.
- Ability to work independently to consistently meet deadlines in a remote working environment.
- Prior experience in market research or consulting is highly desirable with exposure to different research methodologies such as:
- - Trade interviews - demonstrated experience in conducting cold calls would be an added advantage
- - Store visits/audits/checks
- - Report writing
- - Desk research        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Graphic Design Intern,,"Phnom Penh, Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4425064517/,"📢 We're hiring a Graphic Design Intern — could it be you (or someone you know)? 🎨
At ANANISAI, we create beautiful e-invitations that turn a couple's dream wedding moment into something they can share and celebrate with everyone they love. 💍 Now we're looking for a creative intern to help bring those moments to life.
✅ Design social graphics, branding & marketing materials 
✅ Direct mentorship + hands-on impact 
✅ Fully remote & flexible around your studies 
💰 USD $100–200/month | 🗓 3 months, extendable | 🎓 Year 3, 4, or fresh grads welcome
This job is based in Cambodia. Do not apply if you are based here. 
📩 Send your resume + portfolio at https://www.ananisai.com/careers/intern 
Know a talented designer? Share & tag them! 💬
#Hiring #Internship #GraphicDesign #WeddingDesign        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
HR & Admin (Officer / Senior level),Premium Human Resources,"Phnom Penh, Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4425057329/,"- Monthly payroll processing
- NSSF processing & contribution
- MOLVT & NSSF compliance
- Recruitment
- Administrative tasks
- - - - - - - - - - - - - - - -        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Human Resources Manager,SVI Public Company Limited,"Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4425061716/,"Job location:
SVI (AEC) Company Limited
Address: 063, Lot P2, Phnom Penh Special Economic Zone, 604 (PPSEZ National Road No 4, Phnom Penh, Cambodia
Job Responsibilities
- Develop and implement HR strategies and initiatives aligned with the overall business strategy
- Bridge management and employee relations by addressing demands, grievances, and other issues
- Manage the recruitment and selection process
- Plan and participate in strategic planning meetings with management to ensure all recruitment processes run smoothly and effectively
- Ensure legal compliance throughout all human resource management activities
- Manage and oversee payroll administration
- Manage and monitor training and development processes
- Manage and monitor Environmental, Health, and Safety (EHS) activities
- Demonstrate strong knowledge of labor laws and effective problem-solving skills
- Coordinate with Cambodian government authorities on HR-related matters
- Coordinate with the headquarters team on HR initiatives and requirements
- Review and update HR policies to ensure compliance and best practices
- Perform other duties as assigned by management
Qualifications and Skill
Education
- Bachelor's degree (BSc/BA) in Business Administration, Human Resources, Accounting, or a related field
Experience
- Minimum of 5-7 years of experience as an HR Manager or in a similar HR leadership role
Special Skills
- Strong knowledge of labor laws and HR practices
- Excellent communication, organizational, and leadership skills
- Strong interpersonal and problem-solving abilities
- Ability to work effectively with stakeholders across different levels and cultures
.        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Industrial Mechanical Engineer,"Making It Easy Co.,LTD","Phnom Penh, Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4425064540/,"Company Description
Making It Easy Co., LTD. is a comprehensive services provider, specializing in solutions tailored to businesses looking to establish or expand operations in Cambodia. Our expertise includes relocation, market entry, business setup, accounting, tax, human resources, employment, property acquisition, and legal support services. With a client-centered approach, we are committed to guiding businesses through the unique challenges of operating in Cambodia. Join us in Phnom Penh to contribute to a dynamic and growing organization dedicated to fostering business success in the region.
Role Description
The Mechanical Engineer (ME) is responsible, in close conjunction with the production manager, for
the management, operation, and maintenance of the factory’s mechanical systems supporting PET
recycling operations, including the bottle-to-flake washing line and flake-to-pellet extrusion line. This
role ensures reliable mechanical performance, safe operation, and efficient utilisation across all
production and auxiliary systems, with a strong emphasis on problem-solving, preventive maintenance,
and compliance with safety standards. The Mechanical Engineer will work closely with the Production
Manager and production line supervisors to plan maintenance windows and ensure safe and efficient
operating conditions for the production equipment.
Qualifications
_ Degree in Mechanical Engineering or related field.
– Proven experience in industrial mechanical systems, preferably in plastics recycling,
manufacturing, or processing plants.
– Strong knowledge of mechanical drive systems, hydraulics, pneumatics, rotating equipment
(e.g., extruders, washers), and industrial machinery.
– Ability to read and interpret mechanical drawings and technical documentation.
– Strong troubleshooting, problem-solving, and organisational skills, including maintenance
planning and inventory control.
– Technical expertise in industrial mechanical systems, with attention to detail and recordkeeping.
– Safety awareness and compliance knowledge.
– Proven competencies to be able to use all tools relevant to Mechanical engineering.        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Interior Sales Supervisor - URGENT Phnom Penh,Hunter Group,"Kouk Chak, Siem Reap, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4425093058/,"Interior Sales Supervisor
Learn more about us: https://huntergroup.asia/
KEY RESPONSIBILITIES:
- - - - - - - - - - - - - - - - - - - - - - - - - QUALIFICATION & COMPETENCIES:
- 2+ years of experience in sales or customer service, preferably in a supervisory or leadership role
- Strong interpersonal and communication skills
- Ability to motivate and inspire team members towards achieving sales goals
- Basic understanding of sales processes and techniques
- Experience in a hybrid sales environment
- Background in retail or service industry sales is a plus
- Ability to analyze sales data and metrics to inform decision-making
- Proficient in Microsoft Office Suite (Excel, PowerPoint, Word)
- - - - - ✨ 
Why Join Hunter Group:
At Hunter Group, we believe in fostering a collaborative and dynamic environment where talent thrives. Join us to work on exciting projects, contribute to meaningful growth, and be part of a team that values innovation, creativity, and a can-do attitude. We support professional development and offer opportunities to grow your career while making a real impact.
How to appy: 
Telegram:         
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Leasing Coordinator,Royal Group Properties,"Phnom Penh, Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4308894173/,"Job Description
Qualifications        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
"Manager, Product Growth & GTM",Wing,"Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4425219977/,"Manager, Product Growth & GTM is responsible for driving the commercialization, growth, and adoption of investment and wealth management products. The role combines product development support, sales strategy, market expansion, and customer engagement to ensure successful product launches and sustainable business growth.
JOB RESPONSIBILITIES:
- Collaborate with Product Owners and business stakeholders to support the development and enhancement of investment and wealth management products.
- Conduct customer, competitor, and market research to identify product opportunities and growth initiatives.
- Translate customer needs and market insights into product requirements and commercialization recommendations.
- Support product testing, pilot programs, customer validation, and launch readiness activities.
- Work closely with Digital and Technology teams to improve customer journeys and product adoption.
- Develop sales enablement strategies to drive product adoption and revenue growth.
- Partner with Sales teams to identify growth opportunities, customer segments, and cross-selling initiatives.
- Build and maintain sales toolkits including product guides, sales scripts, FAQs, presentations, and training materials.
- Analyze sales performance and customer behavior to recommend growth strategies and campaign improvements.
- Support branch, relationship management, and digital sales channels with targeted product campaigns.
- Design and execute go-to-market plans for new product launches and feature releases.
- Develop customer education and engagement programs to increase product awareness and usage.
- Create segmented communication strategies for retail, affluent, and premium customer groups.
- Coordinate launch activities across Product, Sales, Marketing, Operations, and Technology teams.
- Manage campaign execution across digital, social, events, partnerships, and offline channels.
- Develop educational content and customer journeys that simplify investment products and improve financial literacy.
- Manage customer feedback mechanisms and use insights to improve product positioning and customer experience.
- Lead customer engagement initiatives including webinars, workshops, roadshows, and investment education events.
- Monitor customer sentiment and adoption trends to optimize product growth initiatives.
- Identify opportunities to expand product reach through strategic partnerships and distribution channels.
- Support the evaluation of regional and international market trends, best practices, and emerging investment solutions.
- Collaborate with internal and external stakeholders to strengthen the product ecosystem and customer value proposition.
- Track key growth metrics including customer acquisition, activation, retention, product adoption, and revenue contribution.
- Monitor sales performance, campaign effectiveness, and customer engagement metrics.
- Develop management reports and actionable recommendations based on business performance data.
- Use analytics and customer insights to continuously optimize product and growth strategies.
JOB REQUIREMENTS:
- 3–7 years of experience in product management, product marketing, growth marketing, sales strategy, business development, fintech, banking, wealth management, or investment products.
- Strong understanding of product lifecycle management and go-to-market execution.
- Experience working cross-functionally with Product, Sales, Marketing, and Technology teams.
- Demonstrated ability to translate customer insights into business growth initiatives.
- Strong analytical, commercial, and problem-solving skills.
- Experience with digital products, customer journeys, mobile applications, or online platforms.
- Experience in investment products, wealth management, brokerage, fintech, digital banking, or capital markets.
- Exposure to regional or international markets.
- Experience launching new products or driving market expansion initiatives.
- Familiarity with agile product development methodologies.
APPLY NOW:
Interested candidates are invited to send a cover letter and CV to Wing at: 
dalin.chey@wingbank.com.kh        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Marketing Officer,Chip Mong Land,"Phnom Penh, Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4425047879/,"Summary of the Position:
Officer, Marketing to execute integrated digital content planning, media coordination, and campaign execution. Manage social media platforms, ensure all digital activities align with brand strategy and sales goals. Support company events and maintain digital assets, reports, and partner coordination. 
Duties and Responsibilities:
- Develop monthly content calendar highlighting gym and sport programs, promotions 
- Execute campaigns across social media, coordinate with operations on timing and readiness. 
- Execute approved marketing campaigns, promotions, and activations. 
- Monitor engagement, reach, and basic campaign performance metrics. 
- Support digital marketing activities (boosted posts, ads setup coordination) 
- Support event marketing: planning, on-site coordination, photos/video capture and post-event reporting. 
- Work with Design & Creative to produce POS materials 
- Monitor campaign analytics and prepare weekly/monthly performance reports including revenue uplift indicators. 
- Maintain brand consistency and ensure timely approvals and publishing. 
- Provide feedback and ideas to improve future marketing activities. 
- Prepare basic marketing reports including campaign status, engagement, and results. 
Qualifications: 
- Bachelor’s degree in Marketing, Management, or related field. 
- 1-2 years in marketing/digital marketing; experience in sport and hospitality is an advantage. 
- Social media platforms, basic performance analytics, event marketing, branding.
- Creativity and copywriting 
- Strong communication, and interpersonal skills. 
- Excellent presentation, reporting 
- Analytical thinker with problem‑solving and attention to detail. 
- Ability to manage multiple tasks, and think creatively. 
- Willing to work flexible schedules based on operational needs.        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Marketing Officer,"Mega Asset Management Co., Ltd.","Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4425051484/,"Company Description
Mega Asset Management Co., Ltd., established in 2008, is a premier consulting firm in Cambodia, specializing in real estate development. The company has played a vital role in the country's market growth and development. Mega Asset Management has managed prominent properties and projects, including Diamond Island City, Olympia City, Chroy Chongva Satellite City, as well as wedding halls, exhibition centers, and ventures in the agricultural sector. Renowned for our expertise, we are dedicated to driving progress and fostering innovation in the industry.
Role Description
- Plan and execute traditional marketing campaigns, activities, booths, events, advertising, and partnerships to promote products, generate leads, and increase brand awareness for leasing products.
- Manage, lead, and boost ads with creative and eye-catching designs aligned with brand guidelines, and produce scripts, creative content, photos, and videos to attract more audiences and prospects across all social media channels while maintaining product presence on digital platforms.
- Lead the production of creative and eye-catching designs aligned with brand guidelines to attract target audiences.
- Plan marketing strategies for both digital and traditional channels for 3 months and prepare monthly reports.
- Produce marketing materials for the leasing team, including project brochures, unit sheets, leasing information, wishing cards, and media content.
- Improve brand image and tenant satisfaction by decorating and creating seasonal activities within the building.
- Be flexible in accepting other tasks assigned by the PM.
- Deliver and support all marketing materials and gifts, keep them updated, and monitor stock for the leasing team
Qualifications
- Strong knowledge of both Traditional & Digital Marketing
- Familiar with event planning and offline activation
- Strong writing skills (captions, scripts, marketing messages)
- Familiar with Canva / Adobe tools (optional but a plus)
- Ability to guide designers & videographers
- Experience with Facebook Ads Manager, Google Ads, or similar tools
- Proficiency in social media management, paid ads, and content direction
- Highly organized and able to manage multiple tasks and deadlines
- Good attitude, work ethic, and problem solving skill
- Be curious to learn more to upgrade skills and abilities
- Be focused and attentive to works
- Be responsible and reliable at work
- Be flexible and open to new ideas
- Good teamwork and communication with relevant departments
- Respect the company’s rules        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Mechanical Supervisor,,"Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4421452673/,"Role Description
- Implement of safety procedure during daily activities.
- - - - - - - - - - - - - - - - - - - - - - - - -        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
